id;nombre;apellido;nombre_usuario;email;contrasena;rol
1;Buckinghamshire transmitting;multiestado;Queso actitud Account;Carlos.Cabn40@hotmail.com;connecting system transmitting;ADMIN
2;neural Buckinghamshire Aragón;generate;user-centric;Emilio.Centeno64@gmail.com;Morado cross-platform Decoración;USER
3;Métricas proactive Money;metódica withdrawal;generación Azul;AnaMara53@hotmail.com;protocolo;ADMIN
4;circuit Sabroso;Guantes multiestado virtual;Bedfordshire;Rodrigo_Puente@gmail.com;Tunez;ADMIN
5;Perú;bandwidth Grupo;demanda metodologías;Soledad.Baca79@yahoo.com;Guapa Uganda;ADMIN
6;complejidad hack Perseverando;Checking Granito Horizontal;payment online benchmark;Salvador_Pagan@yahoo.com;back en Atún;USER
7;Fantástico Cambridgeshire Checking;Won transmit;Ingeniero;MaradelCarmen.Sevilla88@yahoo.com;input País;USER
8;XSS;Operaciones Borders open-source;Cambridgeshire Kazajistan;Francisca_Castro39@yahoo.com;markets Credit;ADMIN
9;firewall backing;alto;Mancha Sabroso;Gregorio3@gmail.com;Personal SSL;USER
10;Andalucía Ecuatorial Blanco;Gorro technologies magnetic;Monetary;Andrs.Guilln@gmail.com;payment Amarillo;ADMIN
